,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,devrait,should
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
28,aucune,any
29,place,square
30,parle,speak
31,compris,understood
32,savais,knew
33,étaient,were
34,attention,Warning
35,voici,here is
36,pourrais,could
37,affaire,case
38,donner,give
39,type,type
40,leurs,their
41,donné,given
42,train,train
43,corps,body
44,endroit,place
45,yeux,eyes
46,façon,way
47,écoute,listen
48,dont,whose
49,trouve,find
50,premier,first
51,perdu,lost
52,main,hand
53,première,first
54,côté,side
55,pouvoir,power
56,vieux,old
57,sois,be
58,matin,morning
59,tellement,so much
60,enfant,child
61,point,point
62,venu,came
63,pardon,sorry
64,venez,come
65,devant,in front of
66,vers,towards
67,minutes,minutes
68,demandé,request
69,chambre,bedroom
70,mis,placed
71,belle,beautiful
72,droit,law
73,aimerais,would like to
74,aujourd'hui,today
75,mari,husband
76,cause,cause
77,enfin,finally
78,espère,hope
79,eau,water
80,attendez,Wait
81,parti,left
82,nouvelle,new
83,boulot,job
84,arrêter,Stop
85,dirait,would say
86,terre,Earth
87,compte,account
88,donne,given
89,loin,far
90,fin,end
91,croire,believe
92,chérie,sweetheart
93,gros,large
94,plutôt,rather
95,aura,will have
96,filles,girls
97,jouer,to play
98,bureau,office
